id,time,video_end_time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
4.0,1685917821.13,1685917819,32,288.624,96.249,16.641,13.353,-1361.13,-1133.14
5.0,1685917821.13,1685917819,32,265.214,135.487,23.516,20.11,-1377.05,-1122.86
1.0,1685917819.53,1685917819,8,272.33,83.925,15.035,11.548,-1351.98,-1134.59
2.0,1685917819.53,1685917819,8,302.028,77.061,13.03,11.611,-1347.53,-1142.31
3.0,1685917819.53,1685917819,8,284.113,102.421,16.657,14.845,-1364.41,-1130.89
4.0,1685917819.53,1685917819,8,231.872,202.025,40.928,40.571,-1390.01,-1114.99
1.0,1685917821.27,1685917819,34,299.958,54.575,7.635,6.462,-1318.0,-1157.05
2.0,1685917821.27,1685917819,34,315.062,56.045,9.849,7.859,-1321.85,-1159.18
3.0,1685917821.27,1685917819,34,304.954,67.212,9.88,7.92,-1337.3,-1148.28
4.0,1685917821.27,1685917819,34,290.792,92.287,15.702,12.963,-1358.76,-1134.63
5.0,1685917821.27,1685917819,34,269.213,127.789,21.696,17.999,-1374.69,-1124.31
1.0,1685917819.6,1685917819,9,273.72,82.354,13.91,10.891,-1350.77,-1135.37
2.0,1685917819.6,1685917819,9,302.644,76.262,13.102,11.378,-1346.82,-1142.8
3.0,1685917819.6,1685917819,9,285.447,100.132,16.022,14.432,-1363.23,-1131.64
4.0,1685917819.6,1685917819,9,237.115,192.04,38.229,37.559,-1388.64,-1115.84
1.0,1685917819.2,1685917819,3,262.958,94.872,17.933,14.068,-1359.31,-1129.9
2.0,1685917819.2,1685917819,3,298.111,83.829,15.012,12.877,-1353.07,-1138.73
3.0,1685917819.2,1685917819,3,276.829,115.577,19.467,17.76,-1370.32,-1127.17
1.0,1685917820.53,1685917819,23,291.19,63.194,10.755,7.957,-1331.21,-1148.16
2.0,1685917820.53,1685917819,23,309.997,63.507,10.275,8.654,-1332.88,-1151.82
3.0,1685917820.53,1685917819,23,299.074,77.914,11.691,9.954,-1348.16,-1141.41
4.0,1685917820.53,1685917819,23,276.955,118.483,21.186,18.658,-1371.49,-1126.66
5.0,1685917820.53,1685917819,23,234.424,189.693,35.882,32.949,-1388.24,-1115.77
1.0,1685917819.27,1685917819,4,264.836,92.479,17.488,13.619,-1357.85,-1130.8
2.0,1685917819.27,1685917819,4,299.422,82.32,14.572,12.645,-1351.94,-1139.54
3.0,1685917819.27,1685917819,4,278.473,112.483,19.044,16.902,-1369.05,-1127.96
1.0,1685917821.07,1685917819,31,297.664,56.641,9.021,6.686,-1321.52,-1154.63
2.0,1685917821.07,1685917819,31,313.556,57.803,9.617,7.528,-1324.68,-1157.2
3.0,1685917821.07,1685917819,31,304.12,68.778,11.791,10.389,-1339.1,-1147.15
4.0,1685917821.07,1685917819,31,287.788,98.191,16.593,13.889,-1362.23,-1132.48
5.0,1685917821.07,1685917819,31,262.799,139.608,24.79,21.368,-1378.21,-1122.12
2.0,1685917822.33,1685917819,50,320.877,48.291,7.975,6.305,-1306.83,-1169.37
4.0,1685917822.33,1685917819,50,303.052,70.943,10.881,10.032,-1341.47,-1145.68
5.0,1685917822.33,1685917819,50,291.553,88.515,13.817,10.455,-1356.25,-1135.98
7.0,1685917822.33,1685917819,50,169.801,78.406,19.449,14.658,-1342.01,-1118.64
1.0,1685917821.87,1685917819,43,305.908,49.047,6.931,5.14,-1307.13,-1164.49
2.0,1685917821.87,1685917819,43,318.248,51.312,8.409,7.21,-1313.19,-1164.94
4.0,1685917821.87,1685917819,43,298.294,78.784,12.604,10.242,-1348.9,-1140.88
5.0,1685917821.87,1685917819,43,283.852,102.097,16.27,12.607,-1364.23,-1130.93
7.0,1685917821.87,1685917819,43,193.976,68.372,15.669,12.009,-1331.87,-1125.58
1.0,1685917820.27,1685917819,19,287.002,67.575,11.122,8.564,-1336.65,-1144.55
2.0,1685917820.27,1685917819,19,307.986,66.704,10.701,8.671,-1336.87,-1149.2
3.0,1685917820.27,1685917819,19,295.783,82.705,14.125,11.566,-1352.08,-1138.8
4.0,1685917820.27,1685917819,19,269.362,132.466,24.449,21.789,-1376.22,-1123.67
2.0,1685917822.47,1685917819,52,321.279,47.658,7.722,6.75,-1305.38,-1170.33
4.0,1685917822.47,1685917819,52,303.939,68.759,11.317,9.859,-1339.07,-1147.13
5.0,1685917822.47,1685917819,52,293.35,85.296,13.519,10.876,-1353.99,-1137.41
7.0,1685917822.47,1685917819,52,161.437,81.811,20.197,14.628,-1344.88,-1116.64
2.0,1685917822.53,1685917819,53,321.547,46.902,7.726,6.776,-1303.58,-1171.45
4.0,1685917822.53,1685917819,53,304.57,68.04,10.401,9.227,-1338.27,-1147.69
5.0,1685917822.53,1685917819,53,294.013,83.522,13.342,10.575,-1352.65,-1138.2
7.0,1685917822.53,1685917819,53,157.03,83.674,20.797,15.218,-1346.36,-1115.64
11.0,1685917822.53,1685917819,53,199.972,65.868,14.096,10.113,-1328.86,-1127.63
1.0,1685917819.4,1685917819,6,268.961,88.157,16.11,12.563,-1355.04,-1132.67
2.0,1685917819.4,1685917819,6,300.713,79.664,14.221,12.215,-1349.78,-1140.89
3.0,1685917819.4,1685917819,6,281.091,107.437,18.293,15.606,-1366.83,-1129.33
4.0,1685917819.4,1685917819,6,220.165,218.529,46.134,41.342,-1391.96,-1113.56
1.0,1685917819.47,1685917819,7,270.413,85.931,15.592,11.968,-1353.46,-1133.61
2.0,1685917819.47,1685917819,7,301.389,78.284,13.306,11.591,-1348.61,-1141.63
3.0,1685917819.47,1685917819,7,282.501,104.815,17.183,15.368,-1365.59,-1130.11
4.0,1685917819.47,1685917819,7,225.805,211.724,43.583,42.665,-1391.2,-1114.18
1.0,1685917820.0,1685917819,15,282.586,72.517,12.607,9.581,-1342.01,-1141.07
2.0,1685917820.0,1685917819,15,306.051,69.256,11.462,10.718,-1339.76,-1147.23
3.0,1685917820.0,1685917819,15,292.586,88.954,14.465,12.072,-1356.6,-1135.99
4.0,1685917820.0,1685917819,15,259.417,150.762,28.067,25.609,-1381.08,-1120.6
1.0,1685917819.73,1685917819,11,276.915,78.753,13.242,10.796,-1347.82,-1137.28
2.0,1685917819.73,1685917819,11,303.846,73.746,12.673,10.403,-1344.44,-1144.29
3.0,1685917819.73,1685917819,11,287.221,96.181,15.96,13.352,-1361.03,-1132.96
4.0,1685917819.73,1685917819,11,245.962,175.848,34.3,32.578,-1386.1,-1117.45
1.0,1685917821.47,1685917819,37,302.365,52.51,7.779,6.2,-1314.22,-1159.69
2.0,1685917821.47,1685917819,37,315.842,54.536,9.669,7.306,-1319.23,-1160.85
4.0,1685917821.47,1685917819,37,293.769,87.613,14.21,11.631,-1355.71,-1136.63
5.0,1685917821.47,1685917819,37,275.428,117.571,19.346,16.217,-1371.09,-1126.64
2.0,1685917822.4,1685917819,51,321.159,48.006,7.651,6.44,-1306.19,-1169.82
4.0,1685917822.4,1685917819,51,303.663,69.55,11.024,10.207,-1339.96,-1146.6
5.0,1685917822.4,1685917819,51,292.386,87.052,13.899,10.4,-1355.24,-1136.62
7.0,1685917822.4,1685917819,51,165.724,80.062,19.837,14.664,-1343.44,-1117.64
