id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm,speed
13,3.87,58.0,86.999,101.212,30.501,19.955,298642.8339182838,4768894.997518377,22.6571608730488
13,3.93,59.0,80.163,104.166,31.445,20.737,298641.2929267081,4768895.935191432,30.07860074077624
13,4.0,60.0,72.827,106.958,32.636,21.778,298639.88457120134,4768896.792157187,23.574891519867116
14,1.6,24.0,248.314,114.483,27.292,22.738,298630.58205637574,4768875.313142677,
14,1.67,25.0,251.208,111.24,25.667,21.943,298631.96249403444,4768874.473164564,23.09960684946981
14,1.73,26.0,254.775,106.926,24.355,20.854,298633.92449119687,4768873.279315162,38.28438904765786
14,1.8,27.0,258.211,103.465,22.572,19.656,298635.6231444087,4768872.245707082,28.451534156810794
14,1.87,28.0,260.604,100.316,22.134,18.89,298637.2612115655,4768871.248964816,27.39357886761529
14,1.93,29.0,263.133,97.308,21.143,18.023,298638.92433934414,4768870.236973493,32.45552512308483
14,2.0,30.0,265.429,94.402,21.075,17.222,298640.6283973288,4768869.20007668,28.498836356887253
14,2.07,31.0,267.444,91.901,20.285,16.574,298642.18302062125,4768868.254108906,26.000392459477474
14,2.13,32.0,269.981,89.662,19.763,15.891,298643.6767131253,4768867.345216713,29.23705791785342
14,2.2,33.0,271.706,87.417,18.834,15.806,298645.21959783346,4768866.406391713,25.803416954610057
14,2.27,34.0,273.463,85.194,18.061,15.347,298646.82403269,4768865.430114259,26.833196010578284
14,2.33,35.0,275.369,82.997,17.154,14.523,298648.51063763775,4768864.403837388,32.916139239428425
14,2.4,36.0,276.982,81.024,16.881,14.465,298650.0931787785,4768863.440881972,26.471393878601702
14,2.47,37.0,278.502,79.412,16.026,13.805,298651.45457994746,4768862.612487312,22.78246730043153
14,2.53,38.0,279.594,77.537,15.858,13.228,298653.0777416139,4768861.624814842,31.671929386302793
14,2.6,39.0,281.173,75.893,15.796,13.011,298654.5974588332,4768860.700086953,25.436997001233358
14,2.67,40.0,282.468,74.177,15.451,12.295,298656.239966669,4768859.700642593,27.469092089567727
14,2.73,41.0,283.743,72.704,14.696,11.816,298657.722884682,4768858.798306537,28.94055209803944
14,2.8,42.0,284.922,71.63,13.534,11.651,298658.84855006885,4768858.113353992,18.865798877460474
14,2.87,43.0,286.004,70.25,12.607,11.386,298660.32258672337,4768857.216422125,24.652689549526254
14,2.93,44.0,287.058,68.616,12.782,11.399,298662.1465780983,4768856.106547425,35.58596789242698
14,3.0,45.0,288.306,67.538,12.09,11.06,298663.418820951,4768855.332404424,21.323552182593392
14,3.07,46.0,289.509,66.413,11.909,10.153,298664.7862462523,4768854.50034416,22.90396989156698
14,3.13,47.0,290.337,65.323,11.863,9.719,298666.13718261,4768853.6783172,26.358637629512867
14,3.2,48.0,291.219,64.367,12.34,9.655,298667.3754834823,4768852.924827448,20.722165987532062
14,3.27,49.0,291.841,63.469,12.649,9.136,298668.5563652056,4768852.20627649,19.74738422154875
14,3.33,50.0,292.277,62.416,12.707,9.098,298669.97139925824,4768851.345246929,27.618431851128065
14,3.4,51.0,292.674,61.571,12.696,8.304,298671.153554755,4768850.625920896,19.77475199459256
14,3.47,52.0,293.155,60.536,13.7,8.602,298672.6374368609,4768849.722998202,24.824691456671914
14,3.8,57.0,298.676,56.088,10.506,8.488,298679.7962555058,4768845.366951454,25.461759439238087
14,3.87,58.0,299.633,55.298,9.757,7.983,298681.1960393343,4768844.515201452,23.46556313297111
14,3.93,59.0,300.735,54.621,9.104,7.413,298682.4305188874,4768843.764036923,24.236107137106135
14,4.0,60.0,301.658,53.781,9.036,7.381,298683.98703531286,4768842.816917202,26.075244339464117
19,3.13,47.0,263.283,149.058,32.475,31.431,298619.1440695919,4768878.679477534,
19,3.2,48.0,266.545,142.969,30.433,30.112,298620.67235848954,4768877.749533893,25.561849762027077
19,3.27,49.0,270.246,136.472,29.094,27.912,298622.4630272444,4768876.6599355675,29.956430952069024
19,3.33,50.0,273.084,130.477,27.667,26.527,298624.25782699813,4768875.567823584,35.0162660579393
19,3.4,51.0,275.599,125.116,26.557,24.834,298626.01011309354,4768874.501580601,29.302782484853736
19,3.47,52.0,278.326,120.447,24.932,23.264,298627.6821222303,4768873.484185088,27.974113393294957
19,3.53,53.0,280.877,116.084,23.843,22.706,298629.3585720465,4768872.464087482,32.727833889756944
19,3.6,54.0,282.759,112.128,23.031,21.102,298630.98045993986,4768871.477190085,27.122172571259725
19,3.67,55.0,284.799,108.512,21.918,19.817,298632.57918034395,4768870.5043898,26.746352027092264
19,3.73,56.0,286.555,105.073,21.303,18.76,298634.19821101107,4768869.519230988,31.588060332903034
19,3.8,57.0,288.19,101.916,20.588,18.581,298635.7763114727,4768868.558977666,26.39457272767633
19,3.87,58.0,289.544,98.9,19.838,17.369,298637.374722197,4768867.586365817,26.72956018412288
19,3.93,59.0,290.972,96.015,19.297,17.093,298638.9981935436,4768866.59850491,31.676314325905235
19,4.0,60.0,292.661,93.31,18.329,16.227,298640.6248317958,4768865.608716983,27.220190584325472
20,3.4,51.0,204.506,63.777,15.28,10.216,298674.16811667854,4768871.119931206,
20,3.47,52.0,201.937,65.026,16.016,11.14,298672.5037151265,4768872.132697604,27.83332315292737
20,3.53,53.0,198.314,66.384,16.205,11.003,298670.7270228231,4768873.213791442,34.80102168926953
20,3.6,54.0,194.585,67.566,16.219,11.665,298669.21209101676,4768874.13560747,25.644747246268224
20,3.67,55.0,190.408,69.288,16.285,12.011,298667.15587549907,4768875.386787499,34.43331325044169
20,3.73,56.0,186.278,71.374,17.277,11.592,298664.8280540325,4768876.803236166,45.42056558060121
20,3.8,57.0,182.402,72.825,17.963,12.576,298663.24775075825,4768877.76482987,26.542995542913726
20,3.87,58.0,177.753,74.744,18.175,12.754,298661.272121879,4768878.966973992,33.08677520828898
20,3.93,59.0,172.933,76.304,19.346,13.603,298659.6984971505,4768879.92450389,31.093496997244525
20,4.0,60.0,167.998,78.612,19.753,13.361,298657.5667550337,4768881.221640858,35.64822461599689
21,3.93,59.0,225.841,56.848,11.178,7.537,298683.9143715935,4768862.5722238375,
21,4.0,60.0,223.624,57.398,11.347,7.698,298682.9356284059,4768863.167776162,16.869849930841912
22,4.13,62.0,252.048,108.329,20.474,15.029,298632.91007056873,4768873.208247605,
22,4.2,63.0,254.445,104.626,19.807,14.516,298634.6503083997,4768872.149335831,29.112729523860676
22,4.27,64.0,257.809,100.832,18.619,13.945,298636.5992932043,4768870.963404277,32.60962672405333
22,4.33,65.0,261.039,97.357,17.997,13.649,298638.521943614,4768869.793496856,37.53516869614025
22,4.4,66.0,263.21,94.473,18.187,13.024,298640.2053816558,4768868.769147006,28.151557757723932
22,4.47,67.0,265.474,91.842,16.948,11.983,298641.84503226576,4768867.771441231,27.424478863287273
22,4.53,68.0,268.199,89.396,15.812,11.912,298643.4764208767,4768866.778762773,31.91002976542647
22,4.6,69.0,270.265,86.698,15.375,11.436,298645.3445093635,4768865.642055561,31.240018816807325
22,4.67,70.0,272.486,84.416,14.294,10.498,298647.04157912266,4768864.60941099,28.408823007251996
22,4.73,71.0,274.08,82.472,13.749,10.243,298648.5463908511,4768863.693752896,29.362201698932683
22,4.8,72.0,276.003,80.613,13.315,9.832,298650.0749894284,4768862.763620819,25.59695453690596
22,4.87,73.0,277.939,78.55,13.476,9.829,298651.84820514644,4768861.684642436,29.676486950323504
22,4.93,74.0,279.223,76.624,13.649,9.804,298653.5608348094,4768860.642529869,33.41365323254489
22,5.0,75.0,280.606,75.146,12.819,8.89,298654.95301105245,4768859.795408983,23.29754300400286
22,5.07,76.0,282.451,73.473,12.018,8.757,298656.6062933797,4768858.789408487,27.701764478689455
22,5.13,77.0,283.823,71.824,11.434,8.953,298658.29575555323,4768857.761393032,32.96673407086502
22,5.2,78.0,285.172,69.984,11.225,9.557,298660.26790784724,4768856.561364367,32.98113252135953
22,5.27,79.0,286.699,68.393,11.213,9.567,298662.07189863926,4768855.463659758,30.19156524952
