id,time,frame_num,class,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
3627,520.0,2600,2,582.787,558.883,134.243,50.877,305730.65,4771018.32
3689,520.0,2600,2,423.742,600.363,168.695,55.427,305725.06,4771018.31
3692,520.0,2600,2,752.302,464.939,49.3,28.058,305756.55,4771033.53
3724,520.0,2600,2,1291.774,498.477,98.219,41.26,305750.41,4770995.72
3733,520.0,2600,2,640.36,458.592,32.173,24.586,305758.64,4771048.37
3734,520.0,2600,2,703.235,767.098,230.406,150.845,305721.14,4771002.43
2299,405.8,2029,2,871.38,747.759,354.134,173.532,305722.85,4771000.24
2321,405.8,2029,2,564.637,602.388,162.13,75.639,305726.6,4771013.69
2348,405.8,2029,2,1123.146,484.472,94.248,38.195,305752.9,4771004.11
2372,405.8,2029,2,324.211,862.394,418.884,149.164,305717.01,4771005.34
2378,405.8,2029,2,1415.384,512.565,133.587,49.033,305748.11,4770991.07
2511,405.8,2029,2,482.794,587.302,148.037,60.972,305726.72,4771018.01
2674,405.8,2029,2,1812.616,551.3,173.819,63.857,305744.43,4770981.29
2905,405.8,2029,3,885.421,559.484,38.45,33.507,305734.36,4771007.32
2926,405.8,2029,0,886.339,538.152,23.494,35.921,305737.34,4771009.18
2951,405.8,2029,2,699.485,466.207,52.681,34.46,305755.1,4771037.57
2971,405.8,2029,2,532.787,478.734,40.614,27.86,305746.55,4771045.32
3011,405.8,2029,0,882.743,581.283,34.747,71.981,305731.94,4771005.87
3023,405.8,2029,2,916.635,443.299,45.626,21.274,305773.52,4771028.95
3025,405.8,2029,2,564.87,441.588,18.843,14.786,305772.37,4771077.99
2837,405.8,2029,2,995.232,442.817,50.002,20.173,305774.45,4771021.41
3034,405.8,2029,2,768.144,491.294,98.579,44.176,305746.04,4771022.78
2913,405.8,2029,2,1133.178,459.974,60.042,24.626,305763.7,4771006.37
3803,576.0,2880,2,773.533,424.068,28.025,11.506,305799.37,4771068.33
3811,576.0,2880,2,858.34,437.022,45.851,17.223,305779.53,4771039.62
3826,576.0,2880,2,710.412,471.808,47.4,31.415,305752.51,4771033.82
3836,576.0,2880,2,832.669,494.232,83.915,48.488,305746.08,4771018.23
3856,576.0,2880,2,1336.623,502.573,137.076,47.419,305749.77,4770993.9
3851,576.0,2880,0,1131.193,752.914,42.244,107.658,305724.46,4770996.21
3863,576.0,2880,2,1194.835,457.698,81.666,25.108,305765.52,4771002.72
3854,576.0,2880,0,1162.207,736.506,32.026,77.136,305725.22,4770995.88
3876,576.0,2880,2,630.687,583.264,166.588,71.38,305728.87,4771013.55
3881,576.0,2880,2,881.631,482.232,61.067,30.753,305750.71,4771018.05
3853,576.0,2880,1,930.981,589.277,43.419,42.454,305731.69,4771004.02
3875,576.0,2880,0,955.711,667.553,44.854,88.448,305726.6,4771000.56
3849,576.0,2880,0,925.839,572.382,31.811,60.643,305733.33,4771005.12
3858,576.0,2880,0,986.684,590.437,37.416,65.898,305732.16,4771002.43
3893,576.0,2880,1,994.332,610.623,33.583,46.862,305730.51,4771001.43
3896,576.0,2880,2,653.071,458.05,39.495,26.385,305759.19,4771047.4
3898,576.0,2880,2,943.275,437.539,42.057,17.691,305779.27,4771029.25
3902,576.0,2880,2,525.934,445.846,18.478,15.268,305767.27,4771077.88
3899,576.0,2880,0,924.835,537.101,19.578,30.517,305737.98,4771007.81
2951,455.2,2276,2,703.135,462.661,45.544,26.867,305757.1,4771039.23
2961,455.2,2276,2,746.147,457.682,48.493,26.946,305760.74,4771038.01
3077,455.2,2276,2,662.661,457.75,36.465,26.31,305759.53,4771046.58
3145,455.2,2276,2,1266.649,490.883,123.239,42.004,305752.36,4770996.97
3153,455.2,2276,2,1363.935,473.611,104.633,38.056,305759.43,4770992.85
3160,455.2,2276,2,1361.672,456.082,99.215,23.85,305767.73,4770992.97
3187,455.2,2276,2,1586.817,498.043,136.464,50.29,305753.33,4770984.72
3241,455.2,2276,2,1451.587,505.158,156.8,55.096,305750.24,4770989.69
3232,455.2,2276,2,1858.41,532.76,123.8,49.033,305747.87,4770979.03
3258,455.2,2276,2,1725.32,539.834,169.563,55.845,305745.56,4770982.83
3244,455.2,2276,2,805.238,481.492,93.54,44.75,305749.92,4771023.17
3265,455.2,2276,2,855.183,424.4,27.076,17.002,305797.66,4771052.64
3281,455.2,2276,2,667.496,796.292,302.425,177.195,305720.24,4771002.27
3282,455.2,2276,2,919.678,471.363,68.77,31.351,305755.64,4771018.27
3284,455.2,2276,2,926.94,436.524,25.535,18.555,305780.31,4771031.7
8,32.6,163,2,549.99,555.434,131.111,31.989,305730.59,4771020.17
7,32.6,163,2,1256.876,494.654,113.021,45.082,305751.13,4770997.27
78,32.6,163,2,1525.803,518.306,162.818,55.88,305747.89,4770987.57
136,32.6,163,2,1831.578,556.876,175.2,65.32,305743.75,4770981.14
348,32.6,163,2,686.392,452.12,30.316,19.275,305763.87,4771048.31
350,32.6,163,2,629.908,439.811,27.454,16.069,305775.04,4771069.61
88,32.6,163,0,933.454,643.272,28.275,29.882,305727.73,4771001.73
3335,514.6,2573,2,348.995,854.397,416.394,144.833,305717.26,4771005.23
3348,514.6,2573,2,617.447,578.208,159.108,71.607,305729.16,4771014.54
3241,514.6,2573,2,862.447,476.468,96.473,38.241,305752.69,4771020.78
3258,514.6,2573,2,1095.001,481.128,93.395,34.703,305753.78,4771005.92
3368,514.6,2573,2,1366.658,501.685,133.54,47.614,305750.3,4770992.75
3400,514.6,2573,2,1744.055,535.838,145.125,60.044,305746.4,4770982.13
3483,514.6,2573,2,388.854,658.277,229.332,84.122,305721.78,4771013.56
3627,514.6,2573,2,581.633,557.007,134.274,50.955,305730.84,4771018.65
3689,514.6,2573,2,419.123,598.743,154.003,54.639,305725.11,4771018.67
3692,514.6,2573,2,707.677,456.877,38.667,24.008,305760.75,4771042.42
3709,514.6,2573,2,557.904,435.393,18.461,13.862,305780.54,4771090.99
3715,514.6,2573,2,853.213,439.358,53.33,22.256,305776.96,4771038.48
2321,428.2,2141,2,809.727,524.152,102.9,50.101,305738.75,4771014.05
2511,428.2,2141,2,800.671,494.019,78.118,32.782,305745.68,4771020.13
2951,428.2,2141,2,698.091,470.248,43.854,25.909,305753.05,4771035.6
2961,428.2,2141,2,743.42,464.85,49.439,27.592,305756.47,4771034.35
3077,428.2,2141,2,658.731,464.244,36.488,26.074,305755.53,4771042.54
3145,428.2,2141,2,1259.735,499.545,117.69,42.389,305749.78,4770997.0
3153,428.2,2141,2,1353.884,483.534,96.925,37.701,305755.64,4770993.29
3160,428.2,2141,2,1443.959,480.78,89.339,39.703,305757.44,4770989.4
2905,428.2,2141,1,990.607,545.824,28.933,30.138,305737.42,4771004.74
3162,428.2,2141,0,1048.247,497.3,22.245,34.849,305748.01,4771006.5
3156,428.2,2141,1,1046.277,510.754,19.43,24.853,305744.54,4771005.29
3164,428.2,2141,2,95.908,747.441,80.821,109.394,305716.85,4771013.67
3158,428.2,2141,0,986.571,528.152,43.483,43.804,305740.26,4771006.23
3166,428.2,2141,2,152.343,890.002,238.03,149.491,305715.7,4771006.79
3167,428.2,2141,2,99.164,680.91,157.482,52.59,305718.11,4771018.69
3876,643.8,3219,2,632.068,584.528,150.611,66.874,305728.78,4771013.37
3853,643.8,3219,1,923.244,585.201,38.913,37.781,305731.99,4771004.45
3875,643.8,3219,0,817.252,602.762,34.722,70.198,305729.35,4771006.4
3893,643.8,3219,1,967.202,599.356,46.471,43.225,305731.17,4771002.56
3918,643.8,3219,0,964.673,578.611,27.906,54.089,305733.09,4771003.61
3849,643.8,3219,0,919.304,564.417,32.966,56.895,305734.16,4771005.85
4015,643.8,3219,2,548.707,568.017,134.449,53.789,305729.24,4771018.28
4447,643.8,3219,2,700.685,467.239,49.046,29.762,305754.58,4771036.91
4463,643.8,3219,2,754.406,464.162,49.551,24.974,305757.01,4771033.73
4542,643.8,3219,2,665.113,461.332,32.412,19.892,305757.31,4771043.8
4600,643.8,3219,2,640.591,455.863,29.315,19.889,305760.49,4771050.53
4649,643.8,3219,2,423.034,531.561,126.373,49.084,305731.75,4771031.21
4666,643.8,3219,2,930.28,479.869,93.209,37.897,305752.24,4771015.57
4682,643.8,3219,2,1388.815,506.98,124.298,51.845,305749.18,4770991.95
4699,643.8,3219,2,1821.56,554.172,92.881,65.658,305744.07,4770981.23
2951,455.8,2279,2,701.307,463.22,43.644,25.717,305756.76,4771039.08
2961,455.8,2279,2,745.876,457.502,48.749,27.068,305760.86,4771038.15
3077,455.8,2279,2,661.39,457.062,37.298,26.993,305759.97,4771047.24
3145,455.8,2279,2,1266.317,490.758,122.84,41.812,305752.4,4770996.99
3153,455.8,2279,2,1362.584,473.232,104.756,37.993,305759.57,4770992.91
3160,455.8,2279,2,1361.66,455.286,99.784,23.957,305768.18,4770992.97
3187,455.8,2279,2,1586.218,497.714,135.67,50.046,305753.42,4770984.72
3241,455.8,2279,2,1451.013,504.711,157.762,55.483,305750.34,4770989.7
3232,455.8,2279,2,1858.844,532.133,123.219,48.695,305747.99,4770978.98
3258,455.8,2279,2,1724.751,539.258,173.748,55.876,305745.65,4770982.81
3244,455.8,2279,2,856.347,465.41,76.254,38.179,305757.72,4771024.74
3265,455.8,2279,2,841.837,423.149,26.926,16.021,305800.2,4771056.67
3281,455.8,2279,2,760.418,783.55,323.716,173.582,305721.14,4771001.2
3284,455.8,2279,2,912.801,432.846,24.678,17.282,305784.61,4771035.91
3692,570.4,2852,2,858.941,479.919,69.55,38.21,305751.27,4771020.07
3733,570.4,2852,2,771.304,479.887,62.44,42.54,305750.03,4771026.0
3767,570.4,2852,2,684.925,467.929,42.494,22.822,305753.99,4771037.94
3748,570.4,2852,2,750.781,461.946,42.585,24.164,305758.2,4771035.19
3803,570.4,2852,2,1189.734,455.519,79.209,25.763,305766.74,4771003.28
3811,570.4,2852,2,1481.748,484.634,112.589,34.265,305756.45,4770987.98
3826,570.4,2852,2,616.443,452.003,24.725,19.484,305763.01,4771056.96
3836,570.4,2852,2,644.594,456.507,34.846,24.375,305760.1,4771049.54
3849,570.4,2852,0,1286.98,717.517,64.987,86.913,305726.81,4770994.07
